date,gm,adbe,ora,flo,mkt_rf,smb,hml,rf
2/1/2017,0.00628251,0.043746685,0.026629435,-0.042267579,0.0357,-0.0202,-0.0168,4.00E-04
3/1/2017,-0.040173822,0.099628269,0.035371017,0.007788216,0.0017,0.0114,-0.0332,3.00E-04
4/1/2017,-0.010338603,0.027741488,0.03776334,0.018767388,0.0109,0.0072,-0.021,5.00E-04
5/1/2017,-0.020496645,0.060714788,0.0077886,-0.057623884,0.0106,-0.0252,-0.0378,6.00E-04
6/1/2017,0.029472257,-0.002960658,-0.012712443,-0.06331178,0.0078,0.0223,0.0148,6.00E-04
7/1/2017,0.041555667,0.035704206,0.01056587,0.025589953,0.0187,-0.0146,-0.0024,7.00E-04
8/1/2017,0.015564196,0.059184918,-0.031365917,-0.012507048,0.0016,-0.0167,-0.0209,9.00E-04
9/1/2017,0.105090276,-0.038540931,0.064350735,0.093512087,0.0251,0.0446,0.0312,9.00E-04
10/1/2017,0.075234821,0.174152113,0.063554672,0.011696128,0.0225,-0.0193,0.0021,9.00E-04
11/1/2017,0.002559625,0.036024188,0.009548617,0.049921105,0.0312,-0.0058,-8.00E-04,8.00E-04
12/1/2017,-0.048735251,-0.034330721,-0.023016381,-0.025260674,0.0106,-0.0132,5.00E-04,9.00E-04
1/1/2018,0.044054999,0.139922331,0.095684995,0.015536129,0.0557,-0.0315,-0.0133,0.0012
2/1/2018,-0.072152761,0.046906339,-0.107020633,0.057623486,-0.0365,0.0023,-0.0107,0.0011
3/1/2018,-0.076492978,0.033232902,-0.099073081,0.054001968,-0.0235,0.0405,-0.0023,0.0011
4/1/2018,0.021290349,0.025546112,0.031257619,0.042857257,0.0028,0.0114,0.0054,0.0014
5/1/2018,0.162221294,0.124909712,-0.105008726,-0.102167345,0.0265,0.0526,-0.0318,0.0014
6/1/2018,-0.077283507,-0.021943201,0.028366358,0.026108522,0.0048,0.0115,-0.0233,0.0014
7/1/2018,-0.02942159,0.003568332,0.019928639,-0.011980743,0.0319,-0.0222,0.0047,0.0016
8/1/2018,-0.049063714,0.076957731,-0.029493073,-0.012255081,0.0344,0.0112,-0.0399,0.0016
9/1/2018,-0.066019267,0.024439307,0.029737622,-0.065615081,6.00E-04,-0.0228,-0.0169,0.0015
10/1/2018,0.098553058,-0.089609246,-0.054333907,0.034833885,-0.0768,-0.0477,0.0344,0.0019
11/1/2018,0.037168722,0.02087404,0.096150088,0.024857836,0.0169,-0.0068,0.0027,0.0018
12/1/2018,-0.118577061,-0.098250206,-0.065792519,-0.058111691,-0.0957,-0.0238,-0.0186,0.002
1/1/2019,0.178782894,0.095385438,0.103441527,0.064428737,0.084,0.029,-0.0045,0.0021
2/1/2019,0.011788725,0.059236513,-0.032576468,0.041200458,0.034,0.0205,-0.0268,0.0018
